"day 0"	"day 1"	"day 7"	"day 21"	"regulation"	"rankingID"	"6"
"4"	5.2379	5.2262	4.6611	1.3995	3.8384	4	6
"114"	1.287	1.2356	1.0007	-0.029032	1.316032	114	6
"19"	1.0327	0.88289	1.0197	1.3259	0.59282	19	6
"315"	0.64529	0.65156	0.56187	0.81575	0.34984	315	6
"40"	0.64388	0.65015	0.56041	0.81238	0.34798	40	6
"41"	0.64388	0.65015	0.56041	0.81238	0.34798	41	6
"135"	0.71268	0.71936	0.63214	0.86627	0.32803	135	6
"128"	0.34482	0.34482	0.34482	0.12561	0.21921	128	6
"129"	0.34482	0.34482	0.34482	0.12561	0.21921	129	6
"130"	0.37367	0.37384	0.3749	0.19495	0.18118	130	6
"190"	0.11447	0.11516	0.11935	0.16368	0.04921	190	6
"301"	0.055063	0.057058	0.066206	0.041147	0.036202	301	6
"166"	0.065391	0.06579	0.06818	0.045699	0.02527	166	6
"26"	0.011549	0.013195	0.0026373	0.0058156	0.015382	26	6
"66"	0.88814	0.88814	0.88814	0.88814	0	66	6
