"day 0"	"day 1"	"day 7"	"day 21"	"regulation"	"rankingID"	"7"
"186"	-2.3168	-2.3168	-2.2808	0.00020944	2.31700944	186	7
"189"	-2.3169	-2.3169	-2.2809	0	2.3169	189	7
"78"	-1.973	-1.973	-1.937	0.12341	2.09641	78	7
"270"	-1.741	-1.7869	-1.944	-0.27912	1.86788	270	7
"187"	-1.7357	-1.7242	-1.7119	0	1.7357	187	7
"124"	-1.5882	-1.661	-1.8931	-0.99558	1.20242	124	7
"122"	-1.0919	-1.0285	-1.0779	0	1.1907	122	7
"165"	-0.90354	-0.91337	-0.91362	0.22959	1.15329	165	7
"79"	-1.0253	-1.0152	-0.97732	0	1.0253	79	7
"145"	-0.97695	-0.75405	-0.47449	0	0.97695	145	7
"55"	-0.76037	-0.83392	-1.2663	-0.83695	0.93528	55	7
"56"	-0.76037	-0.83392	-1.2663	-0.83695	0.93528	56	7
"120"	-0.83438	-0.80291	-0.75012	-0.098727	0.735653	120	7
"113"	-0.64929	-0.6085	-0.38018	0	0.64929	113	7
"188"	-0.58121	-0.5927	-0.56892	0	0.60419	188	7
"32"	-0.32894	-0.3136	-0.074584	0	0.32894	32	7
"61"	-0.12369	-0.078939	0	0	0.12369	61	7
"302"	-0.041137	-0.022851	0	0	0.041137	302	7
"25"	-0.0091303	-0.010761	-0.022501	0	0.0358717	25	7
"27"	-0.0091303	-0.010761	-0.022501	0	0.0358717	27	7
