"day 0"	"day 1"	"day 7"	"day 21"	"regulation"	"rankingID"	"4"
"18"	-1.4111	-1.4194	-1.3643	3.6548	5.0825	18	4
"125"	-2.1822	-2.107	-1.8263	1.7802	3.9624	125	4
"16"	-0.86668	-0.87177	-0.83234	2.6146	3.49146	16	4
"101"	-1.0057	0.20049	-0.13858	1.7705	3.45434	101	4
"62"	-1.5425	-1.5677	-0.86627	1.792	3.3849	62	4
"147"	-1.3753	-1.3606	-1.2727	2.0019	3.3772	147	4
"146"	-0.39834	-0.60659	-0.79823	2.0019	3.20002	146	4
"67"	-1.2721	-1.2699	-1.2209	1.1052	2.3773	67	4
"68"	-1.2721	-1.2699	-1.2209	1.1052	2.3773	68	4
"69"	-1.2721	-1.2699	-1.2209	1.1052	2.3773	69	4
"70"	-1.2721	-1.2699	-1.2209	1.1052	2.3773	70	4
"71"	-1.2721	-1.2699	-1.2209	1.1052	2.3773	71	4
"72"	-0.81135	-0.84087	-0.84565	1.0089	1.88885	72	4
"12"	-0.37265	-0.37483	-0.35289	1.4532	1.83021	12	4
"15"	-0.49403	-0.49694	-0.47945	1.1614	1.66125	15	4
"17"	-0.54443	-0.54764	-0.53199	1.0402	1.59105	17	4
"73"	-0.55386	-0.61529	-0.51783	0.9102	1.58692	73	4
"167"	-0.5399	-0.60537	-0.68794	0.53539	1.37137	167	4
