"day 0"	"day 1"	"day 7"	"day 21"	"regulation"	"rankingID"	"5"
"6"	7.7988	7.8704	8.4074	30.832	23.0332	6	5
"3"	2.4041	2.4697	2.8448	15.243	12.8389	3	5
"57"	-1.0157	-1.0303	-0.89466	9.6976	10.7425	57	5
"34"	-0.13447	-0.56907	-0.12743	7.8894	8.89307	34	5
"2"	1.202	1.2349	1.4224	7.6215	6.4195	2	5
"80"	3.2346	3.4016	3.3882	9.2261	6.0183	80	5
"63"	2.2944	2.2867	2.1677	7.4676	5.4266	63	5
"64"	2.2944	2.2867	2.1677	7.4676	5.4266	64	5
"178"	1.8183	1.2163	0.84518	4.8259	4.95384	178	5
"235"	0	1.8948	0.9163	2.6024	4.5594	235	5
"11"	0.092702	-0.1564	0.18999	3.9405	4.346002	11	5
"10"	0.21639	-0.077461	0.18999	3.9405	4.311812	10	5
"179"	2.4055	2.5739	2.8183	6.4124	4.0069	179	5
"156"	3.0638	2.9682	3.0658	6.2955	3.4229	156	5
"191"	1.7373	1.7402	1.7797	5.1244	3.3871	191	5
"1"	0.60102	0.61743	0.71121	3.8108	3.20978	1	5
"5"	0.51516	0.52923	0.60961	3.2664	2.75124	5	5
"168"	1.287	1.2948	1.3419	3.0942	1.8072	168	5
"35"	0.29495	0.45285	0.36461	1.866	1.74753	35	5
"39"	0.25537	0.41302	0.32334	1.7709	1.69489	39	5
"227"	1.1785	1.1857	1.2288	2.8333	1.6548	227	5
"228"	1.1785	1.1857	1.2288	2.8333	1.6548	228	5
"237"	1.0825	1.0891	1.1286	2.6024	1.5199	237	5
"271"	1.0513	1.0577	1.0961	2.5275	1.4762	271	5
"131"	0.90134	0.90683	0.93978	2.167	1.26566	131	5
"193"	0.84134	0.84646	0.87722	2.0227	1.18136	193	5
"194"	0.84134	0.84646	0.87722	2.0227	1.18136	194	5
"134"	0.15802	0.19494	0.44946	1.3119	1.15388	134	5
"153"	0.79691	0.80177	0.8309	1.9159	1.11899	153	5
"21"	0.21343	0.23049	0.45554	1.3259	1.11247	21	5
"132"	0.72301	0.72741	0.75384	1.7382	1.01519	132	5
"133"	0.72301	0.72741	0.75384	1.7382	1.01519	133	5
"36"	0.29495	0.45285	0.36461	1.0588	0.94033	36	5
"152"	0.72345	0.7175	0.66271	1.4657	0.86373	152	5
"20"	0.54236	0.54409	0.53013	1.3259	0.81146	20	5
"23"	-0.053191	-0.036176	0.19054	0.66294	0.716131	23	5
"230"	0.093833	0.096613	-0.028305	0.52382	0.679823	230	5
"44"	0.086184	0.084369	0.20079	0.74578	0.663226	44	5
"211"	0.36603	0.36826	0.38164	0.88	0.51397	211	5
"49"	0.34497	0.34708	0.35969	0.82938	0.48441	49	5
"50"	0.34497	0.34708	0.35969	0.82938	0.48441	50	5
"217"	0.28276	0.28449	0.29482	0.67981	0.39705	217	5
"218"	0.28276	0.28449	0.29482	0.67981	0.39705	218	5
"219"	0.28276	0.28449	0.29482	0.67981	0.39705	219	5
"220"	0.28276	0.28449	0.29482	0.67981	0.39705	220	5
"22"	0.2642	0.26423	0.26248	0.65713	0.39643	22	5
"221"	0.14718	0.14807	0.15345	0.35384	0.20666	221	5
"222"	0.14718	0.14807	0.15345	0.35384	0.20666	222	5
"223"	0.14718	0.14807	0.15345	0.35384	0.20666	223	5
"224"	0.14718	0.14807	0.15345	0.35384	0.20666	224	5
"225"	0.14718	0.14807	0.15345	0.35384	0.20666	225	5
"226"	0.14718	0.14807	0.15345	0.35384	0.20666	226	5
"279"	0.13559	0.13641	0.14137	0.32597	0.19038	279	5
"103"	0.12138	0.12212	0.12655	0.29181	0.17043	103	5
"104"	0.12138	0.12212	0.12655	0.29181	0.17043	104	5
"105"	0.12138	0.12212	0.12655	0.29181	0.17043	105	5
"106"	0.12138	0.12212	0.12655	0.29181	0.17043	106	5
"107"	0.12103	0.12176	0.12619	0.29097	0.16994	107	5
"108"	0.12103	0.12176	0.12619	0.29097	0.16994	108	5
"109"	0.12103	0.12176	0.12619	0.29097	0.16994	109	5
"246"	0.10539	0.10603	0.10988	0.25337	0.14798	246	5
"247"	0.10539	0.10603	0.10988	0.25337	0.14798	247	5
"229"	0.096028	0.096613	0.10012	0.23087	0.134842	229	5
"232"	0.096028	0.096613	0.10012	0.23087	0.134842	232	5
"233"	0.096028	0.096613	0.10012	0.23087	0.134842	233	5
"234"	0.096028	0.096613	0.10012	0.23087	0.134842	234	5
"210"	0.083267	0.083774	0.086818	0.20019	0.116923	210	5
"212"	0.083267	0.083774	0.086818	0.20019	0.116923	212	5
"213"	0.083267	0.083774	0.086818	0.20019	0.116923	213	5
"214"	0.083267	0.083774	0.086818	0.20019	0.116923	214	5
"215"	0.083267	0.083774	0.086818	0.20019	0.116923	215	5
"216"	0.083267	0.083774	0.086818	0.20019	0.116923	216	5
"161"	0.073906	0.074356	0.077058	0.17768	0.103774	161	5
"157"	0.073332	0.073779	0.07646	0.1763	0.102968	157	5
"158"	0.073332	0.073779	0.07646	0.1763	0.102968	158	5
"159"	0.073332	0.073779	0.07646	0.1763	0.102968	159	5
"160"	0.073332	0.073779	0.07646	0.1763	0.102968	160	5
"162"	0.071861	0.072299	0.074926	0.17277	0.100909	162	5
"163"	0.071861	0.072299	0.074926	0.17277	0.100909	163	5
"164"	0.071861	0.072299	0.074926	0.17277	0.100909	164	5
"248"	0.061793	0.06217	0.064429	0.14856	0.086767	248	5
"148"	0.060005	0.060371	0.062564	0.14426	0.084255	148	5
"149"	0.060005	0.060371	0.062564	0.14426	0.084255	149	5
"150"	0.060005	0.060371	0.062564	0.14426	0.084255	150	5
"151"	0.060005	0.060371	0.062564	0.14426	0.084255	151	5
"110"	0.050394	0.050701	0.052543	0.12116	0.070766	110	5
"267"	0.046799	0.047084	0.048795	0.11251	0.065711	267	5
"268"	0.046799	0.047084	0.048795	0.11251	0.065711	268	5
"269"	0.046799	0.047084	0.048795	0.11251	0.065711	269	5
"278"	0.043595	0.04386	0.045454	0.10481	0.061215	278	5
"137"	0.034603	0.034814	0.036079	0.083192	0.048589	137	5
"138"	0.034603	0.034814	0.036079	0.083192	0.048589	138	5
"288"	0.03271	0.032909	0.034105	0.07864	0.04593	288	5
"289"	0.03271	0.032909	0.034105	0.07864	0.04593	289	5
"293"	0.03271	0.032909	0.034105	0.07864	0.04593	293	5
"294"	0.03271	0.032909	0.034105	0.07864	0.04593	294	5
"314"	0.03271	0.032909	0.034105	0.07864	0.04593	314	5
"173"	0.03116	0.03135	0.032489	0.074914	0.043754	173	5
"176"	0.03116	0.03135	0.032489	0.074914	0.043754	176	5
"238"	0.03116	0.03135	0.032489	0.074914	0.043754	238	5
"239"	0.03116	0.03135	0.032489	0.074914	0.043754	239	5
"240"	0.03116	0.03135	0.032489	0.074914	0.043754	240	5
"241"	0.03116	0.03135	0.032489	0.074914	0.043754	241	5
"200"	0.030816	0.031004	0.032131	0.074088	0.043272	200	5
"201"	0.030816	0.031004	0.032131	0.074088	0.043272	201	5
"202"	0.030816	0.031004	0.032131	0.074088	0.043272	202	5
