"day 0"	"day 1"	"day 7"	"day 21"	"regulation"	"rankingID"	"3"
"236"	1.0825	-0.80573	0.21233	0	3.11862	236	3
"182"	0	0	0.4856	0	0.9712	182	3
"13"	-0.050379	0.088581	-0.0026575	0	0.232856	13	3
"14"	-0.050379	0.088581	-0.0026575	0	0.232856	14	3
"29"	0	0	-0.022386	0	0.044772	29	3
"112"	-0.025855	0	0	0	0.025855	112	3
"28"	0	0	0	0	0	28	3
"30"	0	0	0	0	0	30	3
"33"	0	0	0	0	0	33	3
"37"	0	0	0	0	0	37	3
"38"	0	0	0	0	0	38	3
"51"	0	0	0	0	0	51	3
"65"	0	0	0	0	0	65	3
"75"	0	0	0	0	0	75	3
"76"	0	0	0	0	0	76	3
"77"	0	0	0	0	0	77	3
"98"	0	0	0	0	0	98	3
"99"	0	0	0	0	0	99	3
"118"	0	0	0	0	0	118	3
"119"	0	0	0	0	0	119	3
"121"	0	0	0	0	0	121	3
"123"	0	0	0	0	0	123	3
"126"	0	0	0	0	0	126	3
"136"	0	0	0	0	0	136	3
"141"	0	0	0	0	0	141	3
"142"	0	0	0	0	0	142	3
"143"	0	0	0	0	0	143	3
"144"	0	0	0	0	0	144	3
"154"	0	0	0	0	0	154	3
"169"	0	0	0	0	0	169	3
"174"	0	0	0	0	0	174	3
"177"	0	0	0	0	0	177	3
"180"	0	0	0	0	0	180	3
"192"	0	0	0	0	0	192	3
"197"	0	0	0	0	0	197	3
"198"	0	0	0	0	0	198	3
"243"	0	0	0	0	0	243	3
"244"	0	0	0	0	0	244	3
"245"	0	0	0	0	0	245	3
"250"	0	0	0	0	0	250	3
"253"	0	0	0	0	0	253	3
"256"	0	0	0	0	0	256	3
"259"	0	0	0	0	0	259	3
"264"	0	0	0	0	0	264	3
