,,WT_0d_e2,,,,WT_1d_e2,,,,WT_7d_e2,,,,WT_21d_e2,,
,,rv,,,,rv,,,,rv,,,,rv,,
metabolite,,MT_0d_e2,±,sdev,,MT_1d_e2,±,sdev,,MT_7d_e2,±,sdev,,MT_21d_e2,±,sdev
Phosphoric acid monomethyl ester,,0.6645022286,±,0.368323531350395,,3.5598338607,±,2.46723111561929,,0.3143162225,±,0.271977693220795,,4.5372088001,±,5.3199209058463
Proline,,0.1266201047,±,0.0512113683428552,,12.0032977841333,±,12.9242485901152,,0.173917118166667,±,0.135039067832908,,0.88975661885,±,0.884019744515911
Putrescine,,0.726456171733333,±,0.268726617574251,,1.89984836803333,±,2.1216518194055,,0.765145267533333,±,0.564289601372114,,2.0808524222,±,2.09058085741934
Pyroglutamic acid,,1.21588180533333,±,0.362121419925882,,1.40405290163333,±,0.217587648958279,,1.0217241393,±,0.758086225799463,,1.609726826,±,0.686090843148075
Pyruvic acid,,1.11975158193333,±,0.304793630318162,,0.9252064193,±,0.765608572759284,,1.33049249836667,±,0.301667625041416,,0.57865034495,±,0.217896496751814
Raffinose,,0.0301632395,±,0.0177609104227877,,6.5175463492,±,4.45571808543184,,0.120798043433333,±,0.0926784230859829,,0.5834434358,±,0.199803579259873
Ribonic acid,,0.983155655033333,±,0.455102569959115,,1.436636086,±,1.61161859443316,,0.937494692833333,±,0.494401619894479,,0.875501804,±,0.116886697029419
Serine,,0.169253694466667,±,0.0619068343728859,,5.017148479,±,6.60489525534248,,2.66469121586667,±,3.19340898371169,,0.69848974735,±,0.952696455575748
Shikimic acid,,1.48968237873333,±,0.130233130464105,,1.65053395556667,±,1.03573344564592,,0.767327619833333,±,0.50386794350776,,1.4099021486,±,1.158749229678
"Sinapic acid, cis-",,0.911564446866667,±,0.224150252937176,,1.04896283923333,±,0.0669295392697967,,0.879194717633333,±,0.529315198079496,,1.4256631536,±,1.21703690870554
Spermidine,,1.00819551406667,±,0.179729250444413,,0.977778127666667,±,0.755786195893734,,0.358782628233333,±,0.493271758345523,,8.4540377577,±,11.8764675888244
Succinic acid,,0.845515340666667,±,0.273933362658508,,1.83474473766667,±,0.465077139753382,,0.4648917295,±,0.311459553746004,,1.69324538505,±,1.17018573059294
Sucrose,,0.849247618266667,±,0.180215701594109,,1.91293079496667,±,0.91653305938138,,0.450470625533333,±,0.221574103991521,,1.3435354606,±,0.298329509647776
Threonic acid,,1.45090310706667,±,0.311963701026825,,1.1813041637,±,0.156683453741566,,1.07695379816667,±,0.153731468960763,,0.5193511123,±,0.0500731890034851
"Threonic acid-1,4-lactone",,0.528729003466667,±,0.281267560658761,,1.5240684197,±,0.539279089305465,,0.9004460592,±,0.211220731541248,,1.72178254395,±,0.950015888580168
Threonine,,0.1013423053,±,0.117463085621681,,7.3622529123,±,10.2827778879444,,0.669470206366667,±,0.564445376502579,,0.69558434875,±,0.603581390965905
"Trehalose, alpha,alpha'-",,0.556290260833333,±,0.0583021619524069,,1.83223602643333,±,0.964912870253182,,0.550126888866667,±,0.294633419948475,,1.2197624103,±,0.49242691933418
Tyramine,,1.6038402181,±,0.251354328147516,,1.29441381146667,±,1.67467769405796,,1.34779724025,±,1.1721475464557,,0.1779458069,±,0
Uric acid,,0.806305562733333,±,0.239439597356976,,1.36908913076667,±,0.256872964343229,,0.9880266795,±,0.566513856433886,,0.9673169801,±,0.347712650962592
Valine,,0.584951420833333,±,0.103497597860257,,2.00094023103333,±,1.16202876442987,,0.469744299633333,±,0.324948968846206,,2.0525626273,±,1.70968823092231
Xylose,,0.978662301866667,±,0.284026130873721,,1.7318666826,±,1.44493850790085,,0.6683135508,±,0.44843286525716,,0.8674394927,±,0.289231629424926
"beta-D-Galactopyranoside, 1-isopropyl-, 1-thio-",,0.465403183866667,±,0.0531191231064024,,1.83199429343333,±,0.388913989177528,,0.4100088199,±,0.21382865329877,,2.0902876074,±,1.80657970887566
