Metabolite_e1e2	wt/mt_0d	wt/mt_0d	wt/mt_0d	wt/mt_0d	wt/mt_0d	wt/mt_0d	wt/mt_1d	wt/mt_1d	wt/mt_1d	wt/mt_1d	wt/mt_1d	wt/mt_1d	wt/mt_7d	wt/mt_7d	wt/mt_7d	wt/mt_7d	wt/mt_7d	wt/mt_7d	wt/mt_21d	wt/mt_21d	wt/mt_21d	wt/mt_21d	wt/mt_21d	wt/mt_21d
Galactinol	0.1847286396	0.1191040164	#DIV/0!	0.107979984	0.0569469288	0.0530216619	0.8799571813	0.6795940371	#DIV/0!	0.2994210029	0.4730475518	0.1045346579	0.1621662805	0.1195333283	0	1.27641107	0.4440462271	0	0.2358006607	0.9603300429	0.3747231113	1.8964927524	1.4624418684	0.8816282175
Maltitol	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Salicylic acid-glucopyranoside	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Fructose	0.5551872566	1.1716010988	#DIV/0!	0.7023109802	0.3830884694	0.385540524	3.2323242166	6.7599196813	#DIV/0!	0.0174227469	0.0922505094	0.0573886844	0.7352538236	0.2277654738	0	0.121980993	0.8854594547	0	0.2208178172	0.3024442729	0.1700486524	4.0694869575	2.3707106461	0.6541770486
Glucose	0.5425093286	1.2606329798	#DIV/0!	1.1518685286	0.8113750392	0.582579645	2.5226916714	3.013822733	#DIV/0!	0.0609198325	0.212440514	0.0764911416	0.2873893166	0.2044637677	0	0.1183394901	0.4964917012	0	0.0760702778	0.2542806569	0.1221924667	1.8504691338	0.6013102955	0.1828570602
Glucose, 1,6-anhydro-, beta-	1.442119321	1.7955299963	#DIV/0!	1.6568984428	0.7046158684	0.7028733955	1.3381553538	0.4067273693	#DIV/0!	0.2030596939	1.3754885788	1.2351002573	0.3451379565	0.709908963	0	0.8728956939	0.9064708787	0	0.9616712911	0.8446953277	0.5067157673	0.9510712301	0.6106799345	0.8597859078
Maltose	0.0918763232	1.0515572746	#DIV/0!	0.4828155691	0.5204396019	2.6397010265	2.9646866271	1.4538344202	#DIV/0!	0.1267298115	0.4761606167	0.5681161973	1.5065156886	0.9484092875	0	0.6103837929	1.3410412739	0	0.5194615625	0.2329799611	0.6698857967	1.3456118046	0.7661549391	0.3654235242
Maltotriose	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Melibiose	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0.3171581291	2.2494629029	#DIV/0!	4.8204703367	3.394336523	3.1521972488
Raffinose	0.1020945962	0.1448656798	#DIV/0!	0.0427220997	0.0176043793	0	0.6543593818	0.5981343553	#DIV/0!	0.0187845712	0.1998088635	0.1438006956	0.1785576999	0.1530010574	0	1.0383332629	0.530692867	0	0.1680543869	1.0632705493	0.3825133541	1.6902184907	2.1048708289	1.2679711552
Sucrose	0.7960590229	0.9500441664	#DIV/0!	0.9017909148	0.6485996511	0.9973522889	1.3360414372	0.7976550604	#DIV/0!	0.2122890996	0.4886462843	0.6504764927	0.5844773918	0.3293051485	0	0.6399927983	0.4838179102	0	0.6669065849	0.8308896494	0.2447327444	0.4853882339	0.3379066813	0.6065134081
Trehalose, alpha,alpha'-	0.7447068621	0.7309435336	#DIV/0!	0.5786943847	0.6000671359	0.4901092619	1.9677342089	0.6460799445	#DIV/0!	0.2203543901	0.6425809186	0.7874453579	0.5768197084	0.6062540898	0	0.3041387442	0.4883455753	0	0.2265801383	0.344921427	0.3446433472	0.556566977	0.2536226561	0.2434017481
Xylose	0.9677194216	1.3852403989	#DIV/0!	1.2224674113	1.0467338098	0.6667856845	1.2441306797	0.5044884449	#DIV/0!	0.1990963796	0.7132685856	1.0925756872	0.8640697748	0.8638577554	0	0.9341319238	1.8501956808	0	2.9478805577	0.8501229942	1.3374945054	1.1138139087	0.8973593336	0.9210029389
Nonanoic acid	0.6862578205	0.3520045283	#DIV/0!	0.8023417726	0.7669876656	1.0718638969	0.97144059	0.8821723737	#DIV/0!	#DIV/0!	0.7431062744	1.0912216691	0.7655026307	0.3261668675	0	0.7909261774	0.218556731	0	0.7890928671	1.0699109084	0.2354574801	0.4306511493	0.2736734732	0.7073643269
