	0d	0d	0d	1d	1d	1d	7d	7d	7d	21d	21d	21d
Metabolite	mt/wt_0	mt/wt_0	mt/wt_0	mt/wt_1	mt/wt_1	mt/wt_1	mt/wt_7	mt/wt_7	mt/wt_7	mt/wt_21	mt/wt_21	mt/wt_21
Threonine	4.2220860302	35.0856748631	25.8561554367	56.4815936028	1.0044313099	1.0049064596	1.4013807629	1.1348034639	#DIV/0!	1.6555426126	0.6666541799	2.3098849742
Tyrosine	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	2.1776149494	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Valine	1.5844844011	2.1440613789	1.5213068722	9.7126146053	1.3857252313	1.7104828914	2.0350341738	1.7140142447	#DIV/0!	1.1617344071	1.0938012322	0.4072816839
3-Indoxyl sulfate	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Adenosine, 5-methylthio-	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0.8182343112	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Agmatine	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	1.1711998558	0.5345084076	5.2440335385	0.6884128549	#DIV/0!	4.9713197484	#DIV/0!	3.6366325486
Arginine	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	1.40569115	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Isonicotinic acid	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#DIV/0!	0.8797485821	#DIV/0!	0	2.1800520721	0.9401994421
Nicotinic acid, 6-hydroxy-	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Putrescine	2.3747914969	1.0789093104	1.2027659469	7.8931453398	1.029176314	0.8353571355	3.3407423553	0.6227219089	#DIV/0!	1.9300835332	2.6209469848	3.4143150704
Pyrrole-2-carboxylic acid	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	1.1324857069	#DIV/0!	1.3049511025	1.1676964655	1.5621795408
Spermidine	1.037821692	1.1696009221	0.8291616832	12.1151460563	1.0772622339	15.2607700961	14.8583495034	0.3310136559	#DIV/0!	4.7766773693	5.3203156669	7.9650790498
Tyramine	0.7160316683	0.5309458469	0.6529532852	0	0.4594256579	1.9269168177	9.2108933796	1.2529614505	#DIV/0!	13.0637126318	11.5820796838	7.2551340882
Uracil	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0.6739586956	1.888895656	1.9271501045	#DIV/0!	5.5921221947	3.502557301	3.4160542202
Uric acid	0.9420607135	1.7047933689	1.2972984875	2.8731513491	0.7015972909	0.8398342948	0.6365138466	0.8984163056	#DIV/0!	0.4357521417	1.1556385814	0.7978188628
Sinapic acid, cis-	0.889727048	1.476553845	1.0712367174	3.6230446411	0.7897422418	0.9129608059	1.5597585688	1.3944518562	#DIV/0!	1.8345239822	2.6008714838	2.5520710133
Fructose-6-phosphate	1.3265535245	1.6546407229	2.571032419	3.1525842279	2.0677752208	1.6538669319	1.3514559017	1.6305699685	#DIV/0!	0.7093114145	3.1174514581	1.9850239303
Glucose-6-phosphate	1.6745679575	1.4914291797	1.5817300703	4.8189304066	1.6313182618	1.7751256592	2.0932457421	1.344154068	#DIV/0!	2.2524936159	3.9288547614	2.426404618
Glyceric acid-3-phosphate	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Glycerol-3-phosphate	2.1032912395	2.8349704126	1.5003017482	3.3713946389	0.5916595328	1.4226290231	1.2508618779	1.2591863076	#DIV/0!	2.1216490141	2.7471634867	1.3491554516
Glycerophosphoglycerol	2.335361235	2.5257599657	3.0255368118	4.9342243036	1.2366504251	1.4239055101	2.9662848854	1.1318267064	#DIV/0!	1.767120862	1.592014585	1.8081004381
Inositol-phosphate, myo-	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Mannose-6-phosphate	#DIV/0!	#DIV/0!	#DIV/0!	4.0736698279	1.4051408268	1.5102730608	1.8973669116	1.3755033781	#DIV/0!	1.8474515015	4.4192944653	2.3975503197
Phosphonic acid, hydroxymethyl-	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Phosphoric acid	4.9241320934	5.8379676956	4.1662875369	9.4739557804	1.2025720831	1.778639676	9.0654213386	8.2815015785	#DIV/0!	5.0430539366	5.959863943	4.347939969
Phosphoric acid monomethyl ester	2.9748303497	0.940931941	1.6818681193	38.0956412733	1.7646696642	2.8569743087	2.1942742392	1.505275315	#DIV/0!	1.9871728817	1.9132064638	2.1834547673
Arabinonic acid-1,4-lactone	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	1.2753724964	1.2451861562	2.2674417396	1.7801751134	#DIV/0!	2.3363319654	3.5380629451	3.95734591
Ascorbic acid	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	3.0096334941	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Dehydroascorbic acid dimer	0.3359672416	#DIV/0!	1.4908384965	33.9956782514	1.035978395	0.7725988489	#DIV/0!	3.1926749979	#DIV/0!	2.2917515972	30.9893790316	40.959913194
Erythronic acid	0.9587708727	1.21604876	1.0145378529	7.4685997871	1.5710049745	1.4894433023	1.6178103147	1.2079138556	#DIV/0!	1.8543325748	2.2948493115	2.3219696326
Galactonic acid	1.258137635	1.4203262175	1.3360688213	2.5991704812	1.064031208	0.7990320194	1.2405933626	1.2288280713	#DIV/0!	1.3462234123	1.1526418876	1.2602158624
Gluconic acid	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Glyceric acid	1.0824636922	0.7833954015	1.0577783851	8.0879354209	2.1190913717	2.0148365964	0.9554794607	0.8053377119	#DIV/0!	1.336795722	1.3569548095	1.1098944145
Lyxonic acid	1.6321267291	2.1780940005	0.9622320903	6.5051400866	1.0297319301	1.0444622532	1.765457831	1.1656050095	#DIV/0!	2.557645296	1.6112412399	1.7879567828
Lyxonic acid-1,4-lactone	1.8025124453	3.0583234651	3.1416854491	#DIV/0!	1.2601188559	1.3462048269	2.2160727217	0.8355707652	#DIV/0!	1.5927646237	1.3193252172	2.6299845037
Ribonic acid	1.0814149699	1.785405969	0.682754243	2.6569848215	0.8872794262	0.7638970422	0.9743768052	0.700546648	#DIV/0!	1.9606565587	0.9278883729	1.0044037842
Ribonic acid-gamma-lactone	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Saccharic acid	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Threonic acid	0.7369563717	0.8356127772	0.5558488162	0.8512155619	0.8648200631	1.1114063215	1.0506880978	0.6124341159	#DIV/0!	2.024026675	1.2649559083	1.1533436032
Threonic acid-1,4-lactone	1.2950668488	1.6857603381	4.5285350198	#DIV/0!	0.9525608768	1.3313975742	3.2018661755	2.5367431524	#DIV/0!	1.7678665797	2.8373886328	9.8843062659
Erythritol	#DIV/0!	3.2218605766	3.3127077314	#DIV/0!	4.2646502879	2.7167183004	2.9076002938	3.1410358993	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Inositol, myo-	2.4717166848	4.3715974865	4.2350241563	3.9056959052	0.8847179873	1.3252750752	1.0534271558	0.959289334	#DIV/0!	0.8684426886	0.8134484981	1.3123966738
beta-D-Galactopyranoside, 1-isopropyl-, 1-thio-	1.9967301556	2.0363894552	2.4732545385	6.0705395365	1.9680221251	1.7947776326	4.6753993048	1.0443100981	#DIV/0!	1.7769911219	2.9915709144	4.4247298451
Galactinol	9.2609756254	17.5602095055	18.8602160861	3.3397790747	2.1139523845	9.5662053154	0.7834466681	2.2520177834	#DIV/0!	0.5272891229	0.683787863	1.1342649659
Maltitol	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Salicylic acid-glucopyranoside	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	0
Fructose	1.4238706616	2.6103630878	2.5937610646	57.3962306306	10.8400485445	17.4250378839	8.1979985223	1.1293571882	#DIV/0!	0.2457312213	0.4218144469	1.5286381602
