	0d	0d	0d	1d	1d	1d	7d	7d	7d	21d	21d	21d
Metabolite	mt/wt_0	mt/wt_0	mt/wt_0	mt/wt_1	mt/wt_1	mt/wt_1	mt/wt_7	mt/wt_7	mt/wt_7	mt/wt_21	mt/wt_21	mt/wt_21
Azelaic Acid	1.0818858435	0.905980645	#DIV/0!	0.4610373196	0.4567620761	0	1.3476159033	2.3420288125	#DIV/0!	5.2690785742	2.8752501897	8.4519293016
Benzoic acid, 4-hydroxy-	1.2198001433	1.4229554379	#DIV/0!	0.7224673002	1.6587020715	0	1.6542364476	2.0398591624	#DIV/0!	1.2337156568	1.2376772904	2.9318884402
Citric acid	1.8404347465	0.9201427054	#DIV/0!	0.6298765802	1.3282580761	0	2.1365094282	2.9427690329	#DIV/0!	2.5791441655	2.4616109613	8.0921952129
Fumaric acid	0.9733158959	0.8461347271	#DIV/0!	0.5462267819	0.3779165169	0	2.7723839205	2.4022417941	#DIV/0!	5.4339811699	1.6602048092	4.0892789676
Glutaric acid, 2-hydroxy-	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Glutaric acid, 2-oxo-	2.1284925092	1.2401261122	#DIV/0!	0.6616440003	0.9729386073	0	1.3163448661	1.9362422354	#DIV/0!	1.2663040778	8.0980840946	4.9096081215
Lactic acid	#DIV/0!	#DIV/0!	#DIV/0!	0	0	0	#DIV/0!	0	#DIV/0!	#DIV/0!	0	0
Malic acid	2.0155626399	0.9942461877	#DIV/0!	0.7825292847	0.888039559	0	2.7558489339	3.1522404697	#DIV/0!	1.5453630836	2.0568691074	8.7381532073
Malonic acid	1.1974497553	1.0358305503	#DIV/0!	0.7997193505	1.3389127428	0	1.1606439137	1.4262411781	#DIV/0!	1.6266319085	1.6613293276	3.4772383728
Pyruvic acid	0.8108541314	0.5543621208	#DIV/0!	0.642837925	1.2593964396	0	0.9999978023	0.4466375111	#DIV/0!	1.256786618	0.4788327562	0.5647278905
Salicylic acid	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0.9670347111	1.1173114001	#DIV/0!	0.9090717322	3.6822792881	2.7759035814
Shikimic acid	1.3170942567	0.9641230989	#DIV/0!	0.6081379178	0.9158866033	0	1.5743212788	1.2721690413	#DIV/0!	2.0173139985	4.249309122	2.2410736927
Succinic acid	1.4289477384	1.2593826894	#DIV/0!	0.3838667694	0.7846221541	0	1.8267547231	2.1227629295	#DIV/0!	2.5618150322	5.3050734608	6.1049897827
Alanine	0.9256171638	1.1483539671	#DIV/0!	0.7625963482	1.3666454676	0	5.0764533731	2.3814914046	#DIV/0!	0.7457449931	1.3841563042	1.3215380334
Alanine, 3-cyano-	#DIV/0!	#DIV/0!	#DIV/0!	0.4443577989	2.4115259683	0	1.4058833191	2.986777506	#DIV/0!	2.4332581093	1.3724770911	11.1982720766
Alanine, beta-	2.1836765308	1.3620005681	#DIV/0!	0.8940337075	1.7650792743	0	3.1124177873	3.8717076192	#DIV/0!	1.8384938901	1.8337689845	4.7496537457
Asparagine	3.6487379465	0.9475032665	#DIV/0!	0.1238627201	5.8578795841	0	4.9176703072	2.1399697587	#DIV/0!	20.8939476697	2.4862032847	48.3303012517
Aspartic acid	1.0004940726	0.8717253458	#DIV/0!	0.7720269286	1.3834018757	0	1.7284217471	3.4371112072	#DIV/0!	0.9109849438	2.1343493426	2.0870376668
Butanoic acid, 4-amino-	1.1582232797	2.6253263061	#DIV/0!	0.5491703158	1.7249224738	0	1.4403484219	1.8490278741	#DIV/0!	2.5379418446	1.4373530989	5.9164124089
Caproic acid, 6-amino-	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Glutamic acid	2.3456935724	1.1168412687	#DIV/0!	0.2848907721	2.2550266864	0	1.3773213357	0.8815842017	#DIV/0!	2.1776433674	7.7812691372	2.5564398551
Glutamine	0.7382376428	1.6404374024	#DIV/0!	0.2014720087	1.9540178375	0	1.9223392019	2.602787179	#DIV/0!	6.0053042631	1.3568526209	24.5571328257
Glycine	1.3457342867	0.8976459466	#DIV/0!	0.7248750489	0.7833265999	0	1.78903052	3.9542875446	#DIV/0!	10.0302703989	2.845366589	4.6174416984
Leucine, cyclo-	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0.3164891903	2.711898965	#DIV/0!	0.237048792	9.0898896876	7.2516088811
Lysine	#DIV/0!	1.336609138	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	0	0	0
N-Carboxyglycine	2.001985494	0.425822852	#DIV/0!	0.5549929546	0.1794626667	0	2.8428026936	0.5205532388	#DIV/0!	4.7908409219	6.0682189466	8.2849588306
Ornithine	1.8714868807	1.0943689132	#DIV/0!	0.4863168067	1.5024438786	0	1.6703884666	2.1881202414	#DIV/0!	1.5175598266	2.4387536715	4.8588670759
Phenylalanine	#DIV/0!	#DIV/0!	#DIV/0!	0.6645100856	2.0159108943	0	2.4094370424	1.2839310395	#DIV/0!	1.4126554388	2.789108888	3.0147492874
Proline	3.2201813935	5.0190147999	#DIV/0!	1.0708816533	2.0129134035	0	2.0776362384	2.9846287626	#DIV/0!	4.0709603791	1.8681427416	4.6710719302
Pyroglutamic acid	1.0676853833	1.4485068765	#DIV/0!	1.060829689	1.2535848385	0	1.2582250988	4.7129472256	#DIV/0!	1.5110868649	1.6493717757	3.6521251253
