		MT_e1_0d				MT_e1_1d				MT_e1_7d				MT_e1_21d		
		rv				rv				rv				rv		
metabolite		WT_e1_0d	?	sdev		WT_e1_1d	?	sdev		WT_e1_7d	?	sdev		WT_e1_21d	?	sdev
Pyruvic acid		0.6826081261	?	0.181367240015432		0.9511171823	?	0.435972706671965		0.7233176567	?	0.391284814346883		0.766782421566667	?	0.426523830419604
Raffinose		8.3488919713	?	2.0448760574374		1.600038696	?	0.10157798427484		6.0681665542	?	0.661478580243742		3.1684122732	?	2.55053244319329
Ribonic acid		0.5766083761	?	0.0880933944594238		1.05839259335	?	0.862143669626567		1.3831754196	?	0.64659759086567		2.26944066713333	?	2.26323482432917
Serine		1.3127355613	?	0.067693837866578		0.55766890045	?	0.666637778326779		0.5711278132	?	0.621280163178214		0.822649890533333	?	0.891671589110883
Shikimic acid		1.1406086778	?	0.249588299243647		0.76201226055	?	0.217611182418296		1.42324516005	?	0.213653896086938		2.83589893773333	?	1.22915148046474
Sinapic acid, cis-		1.3234597239	?	0.560603581166082		0.90638536585	?	0.701439464938674		0.84609373105	?	0.112167589620492		1.63682987683333	?	0.521615680888348
Spermidine		1.4521429077	?	0.621094243592237		1.68088124915	?	2.09034401377075		2.38979845345	?	0.807793210371303		2.8951347839	?	2.63136618808257
Succinic acid		1.3441652139	?	0.119900596000129		0.58424446175	?	0.283376850118394		1.9747588263	?	0.209309410032307		4.65729275856667	?	1.8582886500177
Sucrose		1.1543854524	?	0.143970913175478		1.00107725935	?	0.357226782107977		2.37381364795	?	0.937458812850954		2.26302651763333	?	1.5857376630389
Threonic acid		0.8193661546	?	0.238454830000445		0.82931709045	?	0.713374722419642		1.61117175005	?	0.410245127140804		2.3650185313	?	0.970177117963779
Threonic acid-1,4-lactone		2.0268576472	?	0.538816658016868		0.91355840385	?	0.380360096389805		2.1328421168	?	0.0372498259114433		5.1463205293	?	1.56921719271218
Threonine		1.5810192436	?	0		1.8686601768	?	1.50184262243673		1.96464531835	?	0.263539513561584		1.46956352366667	?	0.212185829372811
Trehalose, alpha,alpha'-		1.35545248735	?	0.0178788382269307		1.0279973942	?	0.735106339282677		1.6915586814	?	0.0595175634285101		3.4047369335	?	0.87357149808221
Tyramine		0.9857734458	?	0		1.41277867255	?	1.0852668433787		1.47290673145	?	0.0678881184952682		5.697078896	?	7.17421921528618
Uric acid		1.12011792975	?	0.0236517678729314		0.9879636154	?	0.485607134927774		1.27120657415	?	0.0203519180311798		1.03130831386667	?	0.114374290529434
Valine		1.423225467	?	0.301222369473795		1.2018185127	?	0.728216285998469		2.56327662985	?	0.762846668850843		1.74095676866667	?	0.966744119569775
Xylose		0.87762686625	?	0.220236195711034		1.3929900207	?	0.83327716601908		1.1574559668	?	0.000200849014291275		0.754397923866667	?	0.418577399539246
beta-D-Galactopyranoside, 1-isopropyl-, 1-thio-		1.3950449266	?	0.497698400246505		1.15934918775	?	0.639037472942561		1.3096559458	?	0.123784465979981		4.29106540743333	?	4.18186589778743
