Metabolite_e1	wt/mt_0d	wt/mt_0d	wt/mt_0d	wt/mt_1d	wt/mt_1d	wt/mt_1d	wt/mt_7d	wt/mt_7d	wt/mt_7d	wt/mt_21d	wt/mt_21d	wt/mt_21d
Azelaic Acid	0.9243119373	1.1037763395	#DIV/0!	0.6552105373	0.4380625554	0	2.1690218068	2.189323616	#DIV/0!	0.1440114109	0.6145434723	#DIV/0!
Benzoic acid, 4-hydroxy-	0.8198064294	0.7027626961	#DIV/0!	0.2913500384	3.2913962548	0	1.3841456904	0.602881022	#DIV/0!	1.0304587431	0.9020891564	#DIV/0!
Citric acid	0.5433498807	1.0867879451	#DIV/0!	0.3101887357	0.2870935826	0	1.5876126077	0.7528657404	#DIV/0!	0.4282584622	0.9485920681	#DIV/0!
Fumaric acid	1.0274156666	1.1818448859	#DIV/0!	0.420159041	0.5139607435	0	1.8307414304	2.6460870465	#DIV/0!	1.2621492537	1.2559780748	#DIV/0!
Glutaric acid, 2-hydroxy-	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Glutaric acid, 2-oxo-	0.4698160767	0.8063696024	#DIV/0!	0.6633172385	0.8742770893	0	1.5113867874	1.0278140805	#DIV/0!	0.7030263267	0.9616022057	#DIV/0!
Lactic acid	0	0	#DIV/0!	0.8250496108	2.0517354693	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!
Malic acid	0.4961393807	1.0057871103	#DIV/0!	0.7578862258	0.7709351655	0	1.2779074464	1.1260759612	#DIV/0!	0.6942604603	1.0599036398	#DIV/0!
Malonic acid	0.8351081084	0.9654088689	#DIV/0!	1.5443370612	1.5185177176	0	1.2504386688	0.7468746604	#DIV/0!	0.6240967673	0.9960989519	#DIV/0!
Pyruvic acid	1.2332674414	1.8038750528	#DIV/0!	0.7189839926	0.37056972	0	1.5556020593	0.7940311474	#DIV/0!	0.9763097112	0.7881424593	#DIV/0!
Salicylic acid	0	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	0.2800761221	0.5655343433	#DIV/0!
Shikimic acid	0.7592471039	1.0372119506	#DIV/0!	0.8798747338	1.2368948634	0	1.644363837	1.0918382215	#DIV/0!	0.6020231665	0.7996274515	#DIV/0!
Succinic acid	0.6998156567	0.7940398168	#DIV/0!	0.380681121	0.6109743258	0	2.6050705083	1.2744988078	#DIV/0!	0.2741157024	0.6949672103	#DIV/0!
Alanine	1.0803602603	0.8708116388	#DIV/0!	0.2123144142	0.6807555788	0	1.3113097151	0.7317186671	#DIV/0!	3.3785034362	1.5729712452	#DIV/0!
Alanine, 3-cyano-	0	0	#DIV/0!	0.5999811397	2.1974465692	0	2.2504387288	0.4146751945	#DIV/0!	0.1820186387	1.1517054947	#DIV/0!
Alanine, beta-	0.4579432832	0.7342140844	#DIV/0!	0.7361896201	0.8657312258	0	1.1185260595	0.5665467917	#DIV/0!	0.5605723135	1.2299113023	#DIV/0!
Asparagine	0.2740673665	1.0554053325	#DIV/0!	0.2415710507	0.4942290799	0	8.0734542193	0.1707102349	#DIV/0!	0.050811729	0.6926858684	#DIV/0!
Aspartic acid	0.9995061714	1.1471503093	#DIV/0!	0.833806414	0.9826079517	0	1.2952916057	0.7228557497	#DIV/0!	0.9368874171	2.2800442605	#DIV/0!
Butanoic acid, 4-amino-	0.8633913837	0.3809050318	#DIV/0!	0.2340593711	1.5611908372	0	1.8209287197	0.5797361998	#DIV/0!	0.470652275	0.7790812168	#DIV/0!
Caproic acid, 6-amino-	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Glutamic acid	0.4263131433	0.8953823861	#DIV/0!	0.0388251531	0.7411828677	0	3.5101172032	0.4434537321	#DIV/0!	0.2028708024	0.4968753164	#DIV/0!
Glutamine	1.3545773637	0.6095935136	#DIV/0!	0.4186260611	0.1434059143	0	4.9634686541	0.5117660549	#DIV/0!	0.0666523075	0.6168965215	#DIV/0!
Glycine	0.7430887434	1.1140249714	#DIV/0!	0.4977941251	0.4531317822	0	1.3795481049	1.2766067183	#DIV/0!	0.6892000205	1.1761359655	#DIV/0!
Leucine, cyclo-	#DIV/0!	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!
Lysine	#DIV/0!	0.7481618759	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!
N-Carboxyglycine	0.4995041188	2.3483943976	#DIV/0!	0.2966420477	0.0409857245	0	1.801824675	5.5721895717	#DIV/0!	2.5555429051	0.0704668694	#DIV/0!
Ornithine	0.5343344964	0.913768646	#DIV/0!	0.1960190818	0.2251417451	0	2.0562727552	0.6655822651	#DIV/0!	0.460877205	1.1850655496	#DIV/0!
Phenylalanine	0	0	#DIV/0!	0.2270921283	0.8032539165	0	1.504868055	0.4960536712	#DIV/0!	1.3142923555	1.002925196	#DIV/0!
Proline	0.3105415124	0.1992422895	#DIV/0!	0.7688961511	1.0403574954	0	0.9338100031	0.4967923599	#DIV/0!	0.4215202381	0.9788706499	#DIV/0!
Pyroglutamic acid	0.9366054979	0.6903660702	#DIV/0!	4.5209501309	1.6452932477	0	0.9426583837	0.7977122643	#DIV/0!	0.5483413956	0.8641804731	#DIV/0!
Serine	0.7905958375	0.734968606	#DIV/0!	0.0838680562	1.3948867614	0	11.5895258676	0.9717672518	#DIV/0!	0.0415344973	0.1549564621	#DIV/0!
Serine, O-acetyl-	0	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	0.228280302	0.4718708099	#DIV/0!
Threonine	0	0.6325033702	#DIV/0!	1.0266309204	2.7666616058	0	1.2396226936	0.3412243419	#DIV/0!	0.3816545039	0.869912152	#DIV/0!
