Metabolite_e2	wt/mt_0d	wt/mt_0d	wt/mt_0d	wt/mt_1d	wt/mt_1d	wt/mt_1d	wt/mt_7d	wt/mt_7d	wt/mt_7d	wt/mt_21d	wt/mt_21d	wt/mt_21d
Valine	0.6311201292	0.4664045581	0.6573295752	3.3427042719	1.3379824355	1.3221339857	0.1029588881	0.7216437844	0.5846302264	3.2614947691	0.8436304855	#DIV/0!
3-Indoxyl sulfate	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Adenosine, 5-methylthio-	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	0	#DIV/0!	0	#DIV/0!
Agmatine	0	0	0	#DIV/0!	0.5755325829	1.0012697858	0	0.8538252417	1.8708779615	4.9218704012	0.9114657415	#DIV/0!
Arginine	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	0	#DIV/0!	0	#DIV/0!
Isonicotinic acid	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!
Nicotinic acid, 6-hydroxy-	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Putrescine	0.4210895994	0.9268619617	0.8314169541	4.3496404742	0.6577645225	0.6921401074	0.1266922066	0.9716508108	1.1970927852	3.5591163231	0.6025885213	#DIV/0!
Pyrrole-2-carboxylic acid	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!
Spermidine	0.9635566569	0.854992486	1.2060373993	0.5402789729	1.8504838512	0.5425715589	0.0825413078	0.9282790843	0.0655274926	16.8519685263	0.0561069891	#DIV/0!
Tyramine	1.3965862744	1.8834312499	1.53150313	3.2275032544	0.2840594656	0.3716787144	#DIV/0!	2.1766307189	0.5189637616	0	0.1779458069	#DIV/0!
Uracil	0	0	0	#DIV/0!	1.1373016724	2.4315023261	0	#DIV/0!	1.4837704544	4.4676588864	0	#DIV/0!
Uric acid	1.0615027096	0.5865813525	0.7708326261	1.6520817048	1.3045351734	1.1506505141	0.3480498862	1.4253190725	1.1907110798	1.2131869535	0.7214470067	#DIV/0!
Sinapic acid, cis-	1.1239402041	0.677252647	0.9335004895	1.0947778121	0.9721544769	1.0799562287	0.2760109519	1.2662359275	1.0953372735	2.2862382047	0.5650881025	#DIV/0!
Fructose-6-phosphate	0.7538331334	0.6043608054	0.3889488101	1.6915036632	0.9436000205	1.1055831957	0.3172000897	0.4836115599	0.6046435664	1.2315896169	1.1205077649	#DIV/0!
Glucose-6-phosphate	0.5971689566	0.6704978108	0.6322191243	2.4490450997	0.6159031518	0.7745707582	0.2075149288	0.6130011681	0.5633404006	2.1389589843	1.0751717158	#DIV/0!
Glyceric acid-3-phosphate	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Glycerol-3-phosphate	0.4754453312	0.3527373674	0.6665325833	3.8975016335	2.1779250643	2.5359531438	0.2966131548	1.6901612238	0.7029239414	1.1880720177	0.2319457153	#DIV/0!
Glycerophosphoglycerol	0.4281992803	0.3959204412	0.3305198589	5.8790536444	1.251914469	1.5097699679	0.2026661008	0.808635957	0.7022937919	0.8835303636	0.3138845486	#DIV/0!
Inositol-phosphate, myo-	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	0	#DIV/0!	1.150151044	#DIV/0!
Mannose-6-phosphate	0	0	0	2.4054843371	0.8413578585	0.7721623482	0.2454789029	0.7116724395	0.662131919	1.1621932708	0.7708841549	#DIV/0!
Phosphonic acid, hydroxymethyl-	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Phosphoric acid	0.2030814732	0.171292486	0.2400218399	4.6251550683	3.0045419201	4.1402871814	0.1055525298	0.8315509848	0.5622274222	6.0818455244	0.8360288934	#DIV/0!
Phosphoric acid monomethyl ester	0.336153623	1.0627761227	0.5945769401	6.0331057548	1.0986882235	3.5477076038	0.0262497222	0.5666782969	0.3500206484	8.298960948	0.7754566522	#DIV/0!
Arabinonic acid-1,4-lactone	0	0	0	#DIV/0!	0.6745143685	0.6723991852	0	0.784084652	0.8030927705	1.8967774942	2.8871209494	#DIV/0!
Ascorbic acid	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	0	#DIV/0!	7.1908721656	#DIV/0!
Dehydroascorbic acid dimer	2.9764806693	0	0.6707634679	0.9672850015	0.0332147523	0.3695484116	0.0294155037	0.9652710953	1.2943327594	#DIV/0!	3.3678268197	#DIV/0!
Erythronic acid	1.0430020649	0.8223354465	0.9856704677	3.357408338	1.6062000633	2.0990640521	0.1338939063	0.6365352219	0.6713917868	1.7660857882	0.6076647733	#DIV/0!
Galactonic acid	0.7948255995	0.7040636071	0.7484644384	3.3718470003	1.2729620459	1.6328850076	0.3847381337	0.9398220583	1.251514302	0.8787381359	0.7143986369	#DIV/0!
Gluconic acid	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Glyceric acid	0.9238185144	1.2764946004	0.9453776084	7.7303336385	3.0644644218	4.2570830818	0.1236409477	0.4719003689	0.4963181639	2.6563570306	0.6317272365	#DIV/0!
Lyxonic acid	0.6126975205	0.4591170077	1.0392503119	7.0187371448	0.4633728505	0.2939437157	0.1537245911	0.9711265338	0.9574304834	1.9456254377	1.5164263976	#DIV/0!
Lyxonic acid-1,4-lactone	0.5547811903	0.3269765319	0.3183004843	#DIV/0!	0.4411649085	0.3656365025	0	0.7935759356	0.7428290109	4.0863052455	2.5159436867	#DIV/0!
Ribonic acid	0.9247144046	0.5600967048	1.4646558557	3.2943123954	0.6031579913	0.4124378713	0.3763664707	1.1270406711	1.3090769367	0.9581531801	0.7928504279	#DIV/0!
Ribonic acid-gamma-lactone	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Saccharic acid	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Threonic acid	1.3569324296	1.1967265548	1.7990503368	1.148306106	1.0437478427	1.3518585424	1.1747905522	1.1563098992	0.8997609431	0.5547582038	0.4839440208	#DIV/0!
Threonic acid-1,4-lactone	0.7721609127	0.5932041331	0.2208219646	#DIV/0!	1.1427405187	1.9053963207	0	1.0498016708	0.7510904476	2.393545221	1.0500198669	#DIV/0!
Erythritol	0	0.310379663	0.3018678619	#DIV/0!	4.2427781159	3.7073896533	0	0.2344858154	0.3680911635	6.3375015724	3.0217337823	#DIV/0!
Inositol, myo-	0.4045771128	0.2287493309	0.236126162	3.9411941512	1.8293709906	3.5265560478	0.2560363183	1.1303036836	0.7545603315	0.3923162523	0.2032504455	#DIV/0!
