	0d	0d	0d	0d	0d	0d	1d	1d	1d	1d	1d	1d	7d	7d	7d	7d	7d	7d	21d	21d	21d	21d	21d	21d
Metabolite	mt/wt_0	mt/wt_0	mt/wt_0	mt/wt_0	mt/wt_0	mt/wt_0	mt/wt_1	mt/wt_1	mt/wt_1	mt/wt_1	mt/wt_1	mt/wt_1	mt/wt_7	mt/wt_7	mt/wt_7	mt/wt_7	mt/wt_7	mt/wt_7	mt/wt_21d	mt/wt_21d	mt/wt_21d	mt/wt_21d	mt/wt_21d	mt/wt_21d
Asparagine	3.6487379465	0.9475032665	#DIV/0!	2.3565899943	7.8958755456	0.4707688704	0.1238627201	5.8578795841	0	1.1009059696	1.1524858278	13.234170278	4.9176703072	2.1399697587	#DIV/0!	56.0409579576	5.2083197862	#DIV/0!	20.8939476697	2.4862032847	48.3303012517	34.9465016229	17.0657332016	45.193410845
Aspartic acid	1.0004940726	0.8717253458	#DIV/0!	0.992425485	1.2102976044	1.1109654077	0.7720269286	1.3834018757	0	6.9866161311	2.2541585829	1.677029306	1.7284217471	3.4371112072	#DIV/0!	1.0965645055	1.0348974707	#DIV/0!	0.9109849438	2.1343493426	2.0870376668	1.8206126648	1.5437311281	1.1731378945
Butanoic acid, 4-amino-	1.1582232797	2.6253263061	#DIV/0!	2.8702061103	3.8763188379	1.3181243011	0.5491703158	1.7249224738	0	20.0542171768	1.2500382189	1.931289686	1.4403484219	1.8490278741	#DIV/0!	4.3861101414	1.2835909848	#DIV/0!	2.5379418446	1.4373530989	5.9164124089	3.5996689488	3.2421067705	3.6251270529
Caproic acid, 6-amino-	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Glutamic acid	2.3456935724	1.1168412687	#DIV/0!	17.5515250248	17.922676287	6.0339525007	0.2848907721	2.2550266864	0	41.7100387081	1.2261906967	2.164906863	1.3773213357	0.8815842017	#DIV/0!	10.7925315616	1.3799801152	#DIV/0!	2.1776433674	7.7812691372	2.5564398551	66.4246804299	8.7096984836	43.8669961801
Glutamine	0.7382376428	1.6404374024	#DIV/0!	1.1856408015	2.8958756647	#DIV/0!	0.2014720087	1.9540178375	0	1.3238795731	2.3843584635	8.9201402732	1.9223392019	2.602787179	#DIV/0!	85.2956468762	6.110395458	#DIV/0!	6.0053042631	1.3568526209	24.5571328257	29.2630282148	59.4839402023	46.890900449
Glycine	1.3457342867	0.8976459466	#DIV/0!	1.701053707	1.4802681404	1.8704608233	0.7248750489	0.7833265999	0	42.1074634173	12.7832016308	8.7176639234	1.78903052	3.9542875446	#DIV/0!	52.2023188045	8.8251958	#DIV/0!	10.0302703989	2.845366589	4.6174416984	3.3375987396	4.0318556468	5.9797837972
Leucine, cyclo-	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0.3164891903	2.711898965	#DIV/0!	#DIV/0!	0	#DIV/0!	0.237048792	9.0898896876	7.2516088811	0.5904465775	4.5259125896	2.3126478107
Lysine	#DIV/0!	1.336609138	#DIV/0!	0.8468814294	1.2627627343	0.7915667235	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	#DIV/0!	0	0	#DIV/0!	0	0	0	0	0	0
N-Carboxyglycine	2.001985494	0.425822852	#DIV/0!	2.3601183522	3.512613975	3.0827391303	0.5549929546	0.1794626667	0	77.8977610516	8.8840716073	8.7359259328	2.8428026936	0.5205532388	#DIV/0!	108.8674229418	20.2337990242	#DIV/0!	4.7908409219	6.0682189466	8.2849588306	4.5866333209	6.4814726402	18.9835738766
Ornithine	1.8714868807	1.0943689132	#DIV/0!	2.7080283543	6.4304074071	3.4424800766	0.4863168067	1.5024438786	0	13.5102486024	1.6164213028	9.1396131345	1.6703884666	2.1881202414	#DIV/0!	11.8645244156	3.6195211421	#DIV/0!	1.5175598266	2.4387536715	4.8588670759	5.1253466783	4.315295171	6.4731443094
Phenylalanine	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0.6645100856	2.0159108943	0	53.4605804144	1.9207827113	3.23183761	2.4094370424	1.2839310395	#DIV/0!	1.8022666094	9.9810002992	#DIV/0!	1.4126554388	2.789108888	3.0147492874	1.0419230432	5.4240017731	#DIV/0!
Proline	3.2201813935	5.0190147999	#DIV/0!	14.4958322013	5.9917825993	6.9454222394	1.0708816533	2.0129134035	0	36.9685030407	3.4162698261	4.9508780017	2.0776362384	2.9846287626	#DIV/0!	2.6403602625	1.8139871421	#DIV/0!	4.0709603791	1.8681427416	4.6710719302	2.1663451981	3.7944279401	4.0335594271
Pyroglutamic acid	1.0676853833	1.4485068765	#DIV/0!	1.2521591082	0.6906073022	0.7137636698	1.060829689	1.2535848385	0	2.2244489382	1.3622317743	0.5314813949	1.2582250988	4.7129472256	#DIV/0!	1.56399288	2.6508915162	#DIV/0!	1.5110868649	1.6493717757	3.6521251253	2.4375260016	4.4779023531	1.5059933995
Serine	1.2648687895	1.3606023331	#DIV/0!	4.2181861708	8.6379514894	6.4547705939	0.0862848068	1.0290529941	0	78.3830322174	0.1610433416	0.5643954698	1.0104392296	0.1318163968	#DIV/0!	0.8565010314	0.4310488416	#DIV/0!	0.4248653189	1.8439798936	0.1991044591	0.3625069409	0.2841740487	1.2721323472
Serine, O-acetyl-	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	2.4986481695	1.9535808912	#DIV/0!	#DIV/0!	4.2207987325	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Threonine	#DIV/0!	1.5810192436	#DIV/0!	4.2220860302	35.0856748631	25.8561554367	0.8066970742	2.9306232794	0	56.4815936028	1.0044313099	1.0049064596	2.1509958955	1.7782947412	#DIV/0!	1.4013807629	1.1348034639	#DIV/0!	1.6822039464	1.4686513962	1.2578352284	1.6555426126	0.6666541799	2.3098849742
Tyrosine	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	1.0571303117	3.0089903595	#DIV/0!	#DIV/0!	2.1776149494	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Valine	1.6362218471	1.2102290869	#DIV/0!	1.5844844011	2.1440613789	1.5213068722	0.6868918387	1.7167451867	0	9.7126146053	1.3857252313	1.7104828914	2.0238625773	3.1026906824	#DIV/0!	2.0350341738	1.7140142447	#DIV/0!	0.8058859812	1.6804522401	2.7365320847	1.1617344071	1.0938012322	0.4072816839
3-Indoxyl sulfate	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Adenosine, 5-methylthio-	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	1.7707161271	1.883113536	#DIV/0!	#DIV/0!	0.8182343112	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Agmatine	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	1.132511778	2.9605046015	0	#DIV/0!	1.1711998558	0.5345084076	2.6727389583	0.8009110314	#DIV/0!	5.2440335385	0.6884128549	#DIV/0!	2.1475795667	2.6900853238	3.3838835243	4.9713197484	#DIV/0!	3.6366325486
Arginine	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0.9915337352	1.2099183529	#DIV/0!	#DIV/0!	1.40569115	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Isonicotinic acid	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	0	0	0	#DIV/0!	1.6870695553	1.4239848235	#DIV/0!	#DIV/0!	0.8797485821	#DIV/0!	0.9714768315	5.5964756109	2.1029574109	0	2.1800520721	0.9401994421
Nicotinic acid, 6-hydroxy-	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Putrescine	0.882365667	1.5590788592	#DIV/0!	2.3747914969	1.0789093104	1.2027659469	0.741763839	2.0457795955	0	7.8931453398	1.029176314	0.8353571355	1.4814877448	1.5120559795	#DIV/0!	3.3407423553	0.6227219089	#DIV/0!	1.9016898232	2.127038588	1.8708987698	1.9300835332	2.6209469848	3.4143150704
Pyrrole-2-carboxylic acid	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	0	#DIV/0!	0	0	2.5699219922	1.4898782923	#DIV/0!	#DIV/0!	1.1324857069	#DIV/0!	4.3916553117	3.4491406703	2.0247368594	1.3049511025	1.1676964655	1.5621795408
Spermidine	1.8913228591	1.0129629563	#DIV/0!	1.037821692	1.1696009221	0.8291616832	0.202784822	3.1589776763	0	12.1151460563	1.0772622339	15.2607700961	1.8186023966	2.9609945103	#DIV/0!	14.8583495034	0.3310136559	#DIV/0!	2.2241782399	5.7970212469	0.6642048649	4.7766773693	5.3203156669	7.9650790498
Tyramine	#DIV/0!	0.9857734458	#DIV/0!	0.7160316683	0.5309458469	0.6529532852	0.6453791282	2.1801782169	0	0	0.4594256579	1.9269168177	1.5209108804	1.4249025825	#DIV/0!	9.2108933796	1.2529614505	#DIV/0!	0.6873876127	13.9156506672	2.4881984081	13.0637126318	11.5820796838	7.2551340882
Uracil	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0.772509762	1.5961814781	0	#DIV/0!	0	0.6739586956	1.3355445567	2.8908029488	#DIV/0!	1.888895656	1.9271501045	#DIV/0!	2.0300252453	1.055033099	6.9330355087	5.5921221947	3.502557301	3.4160542202
Uric acid	1.1368422552	1.1033936043	#DIV/0!	0.9420607135	1.7047933689	1.2972984875	0.6445875173	1.3313397135	0	2.8731513491	0.7015972909	0.8398342948	1.2855975534	1.2568155949	#DIV/0!	0.6365138466	0.8984163056	#DIV/0!	0.9413026353	0.9926110235	1.1600112828	0.4357521417	1.1556385814	0.7978188628
Sinapic acid, cis-	1.7198663177	0.9270531301	#DIV/0!	0.889727048	1.476553845	1.0712367174	0.4103927636	1.4023779681	0	3.6230446411	0.7897422418	0.9129608059	0.7667792678	0.9254081943	#DIV/0!	1.5597585688	1.3944518562	#DIV/0!	1.4725501485	1.217131075	2.220808407	1.8345239822	2.6008714838	2.5520710133
Fructose-6-phosphate	2.8156264582	1.8542847373	#DIV/0!	1.3265535245	1.6546407229	2.571032419	0.602189492	1.1815031673	0	3.1525842279	2.0677752208	1.6538669319	2.0928735898	2.1813201601	#DIV/0!	1.3514559017	1.6305699685	#DIV/0!	2.1162940436	3.6332574637	2.5373473586	0.7093114145	3.1174514581	1.9850239303
Glucose-6-phosphate	2.1238081984	1.811199107	#DIV/0!	1.6745679575	1.4914291797	1.5817300703	0.6871623343	0.8948506296	0	4.8189304066	1.6313182618	1.7751256592	2.1949244868	2.6901442229	#DIV/0!	2.0932457421	1.344154068	#DIV/0!	2.5861107661	4.6255317198	2.8464096174	2.2524936159	3.9288547614	2.426404618
Glyceric acid-3-phosphate	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Glycerol-3-phosphate	2.8167139484	2.115527977	#DIV/0!	2.1032912395	2.8349704126	1.5003017482	0.9076984257	1.3458717013	0	3.3713946389	0.5916595328	1.4226290231	2.3797502909	1.4826862251	#DIV/0!	1.2508618779	1.2591863076	#DIV/0!	1.4755031601	3.5564573174	2.4494606051	2.1216490141	2.7471634867	1.3491554516
Glycerophosphoglycerol	3.3983222673	1.7598419345	#DIV/0!	2.335361235	2.5257599657	3.0255368118	0.6385157481	2.1974448809	0	4.9342243036	1.2366504251	1.4239055101	2.1022711986	1.9172365804	#DIV/0!	2.9662848854	1.1318267064	#DIV/0!	1.5939505251	4.8206214164	1.9844600869	1.767120862	1.592014585	1.8081004381
