	0d	0d	0d	0d	0d	0d	1d	1d	1d	1d	1d	1d	7d	7d	7d	7d	7d	7d	21d	21d	21d	21d	21d	21d
Metabolite	mt/wt_0	mt/wt_0	mt/wt_0	mt/wt_0	mt/wt_0	mt/wt_0	mt/wt_1	mt/wt_1	mt/wt_1	mt/wt_1	mt/wt_1	mt/wt_1	mt/wt_7	mt/wt_7	mt/wt_7	mt/wt_7	mt/wt_7	mt/wt_7	mt/wt_21d	mt/wt_21d	mt/wt_21d	mt/wt_21d	mt/wt_21d	mt/wt_21d
Inositol, myo-	2.6198760232	1.8441012804	#DIV/0!	2.4717166848	4.3715974865	4.2350241563	0.9638611745	2.0431506082	0	3.9056959052	0.8847179873	1.3252750752	2.3628441273	2.1427756065	#DIV/0!	1.0534271558	0.959289334	#DIV/0!	1.8568638233	1.7740640789	0.9052379217	0.8684426886	0.8134484981	1.3123966738
beta-D-Galactopyranoside, 1-isopropyl-, 1-thio-	1.7469708404	1.0431190128	#DIV/0!	1.9967301556	2.0363894552	2.4732545385	0.7074814572	1.6112169183	0	6.0705395365	1.9680221251	1.7947776326	1.3971847811	1.2221271105	#DIV/0!	4.6753993048	1.0443100981	#DIV/0!	2.2144228645	9.1047898625	1.5539834953	1.7769911219	2.9915709144	4.4247298451
Galactinol	5.4133457715	8.3960224839	#DIV/0!	9.2609756254	17.5602095055	18.8602160861	1.1364189318	1.4714667072	0	3.3397790747	2.1139523845	9.5662053154	6.1665100589	8.3658676114	#DIV/0!	0.7834466681	2.2520177834	#DIV/0!	4.2408702216	1.0413086703	2.6686371079	0.5272891229	0.683787863	1.1342649659
Maltitol	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Salicylic acid-glucopyranoside	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	0	0	#DIV/0!	0	0	0
Fructose	1.8011940804	0.8535328287	#DIV/0!	1.4238706616	2.6103630878	2.5937610646	0.3093749058	0.1479307517	0	57.3962306306	10.8400485445	17.4250378839	1.360074532	4.3904810644	#DIV/0!	8.1979985223	1.1293571882	#DIV/0!	4.528620075	3.3063942339	5.8806699477	0.2457312213	0.4218144469	1.5286381602
Glucose	1.8432862758	0.7932522915	#DIV/0!	0.8681546333	1.232475676	1.7165035005	0.3964019905	0.3318045182	0	16.415015597	4.7072000578	13.0734092802	3.4796004666	4.8908420856	#DIV/0!	8.4502645682	2.0141323561	#DIV/0!	13.1457387769	3.9326624843	8.1838105629	0.5404035019	1.6630348882	5.4687524712
Glucose, 1,6-anhydro-, beta-	0.6934238973	0.556938621	#DIV/0!	0.6035372924	1.4192129993	1.4227313289	0.7472973875	2.4586493941	0	4.9246602358	0.7270143972	0.8096508718	2.897392133	1.4086313204	#DIV/0!	1.1456122501	1.1031793999	#DIV/0!	1.0398563514	1.1838588036	1.9734929611	1.0514459573	1.6375190071	1.16308024
Maltose	10.8841969873	0.9509705502	#DIV/0!	2.0711842451	1.9214525497	0.3788307804	0.337303778	0.6878362392	0	7.8908031852	2.1001316887	1.7602032908	0.6637833297	1.0543970976	#DIV/0!	1.6383134867	0.7456892039	#DIV/0!	1.92507025	4.2922146414	1.4927917638	0.7431563818	1.3052190216	2.7365506971
Maltotriose	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Melibiose	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	3.1530013205	0.444550563	0	0.2074486368	0.2946083846	0.3172390308
Raffinose	9.7948376982	6.9029462444	#DIV/0!	23.4070892083	56.8040475527	#DIV/0!	1.5282122145	1.6718651775	0	53.2351783671	5.004782984	6.9540692837	5.6004305645	6.5359025439	#DIV/0!	0.9630819273	1.8843290764	#DIV/0!	5.9504546042	0.9404944025	2.6142878129	0.5916394866	0.4750885357	0.7886614738
Sucrose	1.2561882614	1.0525826434	#DIV/0!	1.1089044962	1.5417831298	1.0026547401	0.7484797793	1.2536747394	0	4.7105574507	2.0464700788	1.5373345712	1.7109301643	3.0366971316	#DIV/0!	1.5625175825	2.066893306	#DIV/0!	1.4994603782	1.2035292541	4.0860899206	2.0602065113	2.9593969438	1.6487681667
Trehalose, alpha,alpha'-	1.3428102396	1.3680947351	#DIV/0!	1.7280278268	1.6664801988	2.0403613596	0.5081987168	1.5477960716	0	4.5381442119	1.5562242374	1.2699293862	1.7336439541	1.6494734087	#DIV/0!	3.2879730683	2.0477302356	#DIV/0!	4.4134495085	2.8992110139	2.9015502781	1.7967289496	3.9428654186	4.1084339282
Xylose	1.0333573737	0.7218963588	#DIV/0!	0.8180177163	0.9553527274	1.4997322577	0.803774086	1.9822059554	0	5.0226930403	1.401996415	0.915268399	1.1573139451	1.1575979885	#DIV/0!	1.0705126059	0.5404833718	#DIV/0!	0.33922677	1.1763003787	0.7476666229	0.8978160464	1.1143807865	1.0857728654
Nonanoic acid	1.4571782937	2.8408725449	#DIV/0!	1.2463516598	1.3038019317	0.9329542705	1.0293990289	1.1335653097	0	#DIV/0!	1.3457025386	0.9164040894	1.306331239	3.0659153324	#DIV/0!	1.2643405017	4.5754710699	#DIV/0!	1.2672779615	0.9346572618	4.2470513127	2.3220650907	3.6539895096	1.4136986585
