Var1,Var2,Var3,Var4
NaN,0.10477194563984,0.104771811747682,0.104771811753636
0.574999076698333,0.574858049858847,0.574987662139407,0.143017121545412
0.731816953743376,NaN,0.731804725954035,0.731814180171853
0.124999801528205,0.124998777718972,0.124979905371532,0.124984151015866
1.30822147733102,1.3082221087933,1.30822033344676,NaN
0.0684522722652579,0.0684523733953041,0.0684501764609418,0.0684488986789625
0.0684522722511228,0.0684522136514469,0.0684453991107292,5.57685168983251e-21
0.068452272249164,0.0684515016304188,0.0684509503211579,0
0.0684522722489804,0.0684524142545347,0.0684502660238431,0
0.0684522722655694,0.0684518351484991,0.0684451039578169,0.0684491628541539
NaN,0.0684495427505604,0.0684421947969808,0
NaN,0.0684488746723373,0.068444520772792,0
NaN,0.853923796428049,0.853930895379065,0.172500222712856
NaN,0.454288818388338,0.454288895273188,0.0684523566671715
0.999998412224272,1.00000103120658,0.999981203704806,1.00000055079431
0.733100686353376,0.745631395185098,0.745670682485525,NaN
NaN,0.0684528994507954,0.0684456700706696,0.0684522566050494
2.87499543514605,2.87483690154085,2.87500001281903,2.87491800391889
3.40638858530818,2.72417334398647,NaN,3.40633978255183
3.40638858542265,2.70697899531521,3.40639311901063,3.35410028961645
3.40638858530626,2.72417687467875,NaN,3.34091327971914
NaN,0.034226154285027,0.0342249130398051,0
NaN,0.0342281914430602,0.0342250618306758,0.034225443119293
NaN,0.227107596456749,0.227144348854717,0.0342250698716684
NaN,0.227144520459234,0.227144421663061,0.034226180716975
NaN,0.227144477086035,0.227144365045205,0.0342261763541716
NaN,0.22714448950729,0.22714434479241,0.00168999950142212
