Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8
104.666641600028,104.771724139533,NaN,99.6327543999685,84.7803023638589,84.9500326989198,74.3135983683198,74.4623743410795
120.03863121423,NaN,NaN,118.260978659829,103.252163050697,NaN,NaN,91.0011728943805
NaN,NaN,NaN,NaN,NaN,69.6813326903485,59.7149644117263,61.0786990248726
-124.984522865287,-124.859152145659,NaN,NaN,NaN,NaN,NaN,-103.699964818903
100.296920366032,101.606561693515,NaN,NaN,89.8413423331533,NaN,76.4103453363097,87.8361878663439
0,0.0686553940814643,NaN,2.75836184886378,NaN,10.4037932183322,NaN,NaN
NaN,-0,NaN,NaN,NaN,NaN,-19.6870037247341,NaN
0,0.0686553940820975,NaN,2.75836032657404,NaN,10.4039760146586,13.5048271117065,19.6870025705975
-0.0686553940819421,-0,-2.75836169845114,NaN,-10.3651403942341,NaN,-19.6876757314102,-13.489947161702
0,0.0686553940822499,NaN,NaN,NaN,10.3651410762527,13.4899381562807,NaN
0.0103180947780414,0.0789734838908121,1.01184588107586,2.76818239722668,NaN,NaN,13.4972835013948,19.6769555504433
NaN,0.0789734838912362,1.01184357443948,NaN,8.46505024059064,NaN,13.4972855816038,NaN
NaN,NaN,97.4538390339096,100.771721838024,NaN,NaN,79.4081805471974,87.4185039654476
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
998.997034242978,1000,NaN,1000,NaN,NaN,959.664588984295,NaN
NaN,-13.5842788160933,-12.8397712838037,NaN,-6.69349161298094,NaN,-6.96336660308689,-4.43517154233954
2.90805684100674e-26,NaN,NaN,2.36842513789683,NaN,NaN,4.5042653621405,NaN
21.4952809868723,24.3788234454627,20.7865514247008,NaN,23.7640542252201,NaN,32.8196173566094,NaN
0.0143483155972855,NaN,NaN,3.38979560486025,0.0116453222970064,8.3556036433308,0.0101873428463838,NaN
0,NaN,NaN,3.564678456309,NaN,NaN,NaN,NaN
0,3.40745363853546,0,NaN,NaN,NaN,0,NaN
0,NaN,NaN,NaN,NaN,5.20203655985194,NaN,NaN
0,0.0343276970410381,0.501011209302137,1.37918035117165,NaN,5.20203642531446,NaN,9.88052705889442
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1.68830670111234,NaN,NaN,NaN,NaN,6.73074805118236,NaN,NaN
1.68830670111234,NaN,NaN,NaN,5.5986080055674,NaN,NaN,11.2583479543567
NaN,NaN,2.10418012329799,NaN,NaN,6.65283048499169,7.9535158394351,NaN
